id,type2,fname,bname,cname,sname,rname,fplv,bplv,fcname,bcname,fspt,bspt,fename,bename,rdate,fskl,bskl
BT7-002,LEADER,Broly,"Broly, Recurring Nightmare",Red,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Broly,Broly,Saiyan,Saiyan,Broly Saga,Broly Saga,"July 26, 2019","**[Critical]**  (When this card inflicts damage to your opponent's life, they place that many cards in their Drop Area instead of their hand.)
**[Auto]**  When this card is placed in your Leader Area, choose up to 1 {Dormant Legend} from your deck and activate it.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 of your opponent's Battle Cards with 10000 power or less and KO it."
BT7-002_PR,LEADER,Broly,"Broly, Recurring Nightmare",Red,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Broly,Broly,Saiyan,Saiyan,Broly Saga,Broly Saga,"July 26, 2019","**[Critical]**  (When this card inflicts damage to your opponent's life, they place that many cards in their Drop Area instead of their hand.)
**[Auto]**  When this card is placed in your Leader Area, choose up to 1 {Dormant Legend} from your deck and activate it.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 of your opponent's Battle Cards with 10000 power or less and KO it."
BT7-025,LEADER,Son Goku & Vegeta,"SSB Vegito, Energy Eruption",Blue,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Goku/Vegeta,Vegito,Saiyan,Saiyan,Future Trunks Saga,Future Trunks Saga,"July 26, 2019","**[Permanent]**  If your life is at 4 or less, this card gets +5000 power during your opponent's turn.
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  If you have 4 or more energy : Choose up to 1 blue Son Goku and 1 yellow Vegeta card in your hand with energy costs of 2 or less and play them, you can only play Trunks : Future and Vegito cards for the duration of the turn, and you can't activate this skill for the duration of the game.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]** **[Once per turn]**  When you combo with 1 or more Battle Cards with a combo cost of 1 in your Energy Area using a skill, choose up to 1 of those Battle Cards, and when the battle ends the chosen card is returned to its owner's hand instead of being placed in its owner's Drop Area."
BT7-025_PR,LEADER,Son Goku & Vegeta,"SSB Vegito, Energy Eruption",Blue,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Goku/Vegeta,Vegito,Saiyan,Saiyan,Future Trunks Saga,Future Trunks Saga,"July 26, 2019","**[Permanent]**  If your life is at 4 or less, this card gets +5000 power during your opponent's turn.
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  If you have 4 or more energy : Choose up to 1 blue Son Goku and 1 yellow Vegeta card in your hand with energy costs of 2 or less and play them, you can only play Trunks : Future and Vegito cards for the duration of the turn, and you can't activate this skill for the duration of the game.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]** **[Once per turn]**  When you combo with 1 or more Battle Cards with a combo cost of 1 in your Energy Area using a skill, choose up to 1 of those Battle Cards, and when the battle ends the chosen card is returned to its owner's hand instead of being placed in its owner's Drop Area."
BT7-026,LEADER,Goku Black & Zamasu,"Fused Zamasu, Supreme Strike",Blue,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Goku Black/Zamasu,Zamasu,Saiyan/God,God,Future Trunks Saga,Future Trunks Saga,"July 26, 2019","**[Auto]**  When this card attacks, look at up to 5 cards from the top of your deck, choose up to 1 blue or yellow Goku Black or Zamasu card among them and add it to your hand, then shuffle your deck. 
**[Awaken]**  When your opponent has 3 or more energy : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, look at up to 5 cards from the top of your deck, choose up to 1 blue or yellow Goku Black or Zamasu card among them and add it to your hand, then shuffle your deck.
**[Auto]**  When this card attacks a Leader Card, this card gets -5000 power for the duration of the turn.
**[Activate Main]** **[Once per turn]**  If your opponent has 8 or more energy : Choose up to 4 cards from your opponent's life and place them at the bottom of their deck in any order.
**[Activate Main]** **[Once per turn]**  **[one]**  : Choose 1 of your opponent's Battle Cards and return it to its owner's hand."
BT7-026_PR,LEADER,Goku Black & Zamasu,"Fused Zamasu, Supreme Strike",Blue,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Goku Black/Zamasu,Zamasu,Saiyan/God,God,Future Trunks Saga,Future Trunks Saga,"July 26, 2019","**[Auto]**  When this card attacks, look at up to 5 cards from the top of your deck, choose up to 1 blue or yellow Goku Black or Zamasu card among them and add it to your hand, then shuffle your deck. 
**[Awaken]**  When your opponent has 3 or more energy : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, look at up to 5 cards from the top of your deck, choose up to 1 blue or yellow Goku Black or Zamasu card among them and add it to your hand, then shuffle your deck.
**[Auto]**  When this card attacks a Leader Card, this card gets -5000 power for the duration of the turn.
**[Activate Main]** **[Once per turn]**  If your opponent has 8 or more energy : Choose up to 4 cards from your opponent's life and place them at the bottom of their deck in any order.
**[Activate Main]** **[Once per turn]**  **[one]**  : Choose 1 of your opponent's Battle Cards and return it to its owner's hand."
BT7-049,LEADER,Raditz,"Raditz, Brotherly Hate",Green,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Raditz,Raditz,Saiyan,Saiyan,Saiyan Saga,Saiyan Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, your opponent chooses 1 card from their hand and sends it to their Warp.
**[Activate Main]** **[Once per turn]**  Look at up to 5 cards from the top of your deck, then choose up to 1 red or green Raditz, Vegeta, or Nappa card among them, add it to your hand, shuffle your deck, and if you added a card to your hand, choose 1 card from your hand and place it in your Drop Area.
**[Awaken]**  When your life is at 4 or less : You may choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks a Leader Card, your opponent chooses 1 card from their hand and sends it to their Warp.
**[Activate Main]** **[Once per turn]**  Choose up to 1 red or green Saiyan card in your Battle Area and it gets +5000 power for the duration of the turn."
BT7-049_PR,LEADER,Raditz,"Raditz, Brotherly Hate",Green,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Raditz,Raditz,Saiyan,Saiyan,Saiyan Saga,Saiyan Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, your opponent chooses 1 card from their hand and sends it to their Warp.
**[Activate Main]** **[Once per turn]**  Look at up to 5 cards from the top of your deck, then choose up to 1 red or green Raditz, Vegeta, or Nappa card among them, add it to your hand, shuffle your deck, and if you added a card to your hand, choose 1 card from your hand and place it in your Drop Area.
**[Awaken]**  When your life is at 4 or less : You may choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks a Leader Card, your opponent chooses 1 card from their hand and sends it to their Warp.
**[Activate Main]** **[Once per turn]**  Choose up to 1 red or green Saiyan card in your Battle Area and it gets +5000 power for the duration of the turn."
BT7-050,LEADER,Son Goku,"Kaio-Ken Son Goku, Training Complete",Green,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Saiyan Saga,Saiyan Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Permanent]**  You can't send cards from Drop Areas to Warps.
**[Auto]**  When this card attacks, draw 1 card.
**[Auto]** **[Burst 7]**  (You must place the top 7 cards of your deck in your Drop Area to activate this skill.) When your opponent attacks with a card, negate that attack, then negate this skill for the duration of the turn.
**[Activate Main]** **[Once per turn]**  When your life is at 1 : Choose all of your opponent's Battle Cards with **[Blocker]**  and KO them."
BT7-050_PR,LEADER,Son Goku,"Kaio-Ken Son Goku, Training Complete",Green,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Saiyan Saga,Saiyan Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Permanent]**  You can't send cards from Drop Areas to Warps.
**[Auto]**  When this card attacks, draw 1 card.
**[Auto]** **[Burst 7]**  (You must place the top 7 cards of your deck in your Drop Area to activate this skill.) When your opponent attacks with a card, negate that attack, then negate this skill for the duration of the turn.
**[Activate Main]** **[Once per turn]**  When your life is at 1 : Choose all of your opponent's Battle Cards with **[Blocker]**  and KO them."
BT7-074,LEADER,Hit,Time-Skip Hit,Yellow,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Hit,Hit,Alien/Universe 6,Alien/Universe 6,Universe Survival Saga,Universe Survival Saga,"July 26, 2019","**[Activate Main]** **[Once per turn]**  Choose 1 card in your life and add it to your hand : Choose up to 1 blue or yellow Universe 6 card with an energy cost of 1 in your hand and play it. 
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  When your opponent's Leader Card flips back to its front, choose up to 1 blue or yellow Universe 6 card in your Drop Area with an energy cost of 3 or less and play it.
**[Activate Main]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 blue or yellow Universe 6 card in your hand with an energy cost of 2 or less and play it."
BT7-074_PR,LEADER,Hit,Time-Skip Hit,Yellow,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Hit,Hit,Alien/Universe 6,Alien/Universe 6,Universe Survival Saga,Universe Survival Saga,"July 26, 2019","**[Activate Main]** **[Once per turn]**  Choose 1 card in your life and add it to your hand : Choose up to 1 blue or yellow Universe 6 card with an energy cost of 1 in your hand and play it. 
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  When your opponent's Leader Card flips back to its front, choose up to 1 blue or yellow Universe 6 card in your Drop Area with an energy cost of 3 or less and play it.
**[Activate Main]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 blue or yellow Universe 6 card in your hand with an energy cost of 2 or less and play it."
BT7-075,LEADER,Caulifla & Kale,"Kefla, Soul Overflowing",Yellow,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Caulifla/Kale,Kefla,Saiyan/Alien/Universe 6,Saiyan/Alien/Universe 6,Universe Survival Saga,Universe Survival Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Activate Main]**  When you have 3 or more energy : Choose up to 1 blue Kale card and 1 yellow Caulifla card with energy costs of 2 or less in your hand and play them, then negate this skill for the duration of the game.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, then choose up to 1 Universe 6 card in your Battle Area, and both this card and the chosen card get +5000 power for the duration of the turn."
BT7-075_PR,LEADER,Caulifla & Kale,"Kefla, Soul Overflowing",Yellow,Series7ï½ASSAULT OF THE SAIYANSï½,Uncommon[UC],10000,15000,Caulifla/Kale,Kefla,Saiyan/Alien/Universe 6,Saiyan/Alien/Universe 6,Universe Survival Saga,Universe Survival Saga,"July 26, 2019","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Activate Main]**  When you have 3 or more energy : Choose up to 1 blue Kale card and 1 yellow Caulifla card with energy costs of 2 or less in your hand and play them, then negate this skill for the duration of the game.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, then choose up to 1 Universe 6 card in your Battle Area, and both this card and the chosen card get +5000 power for the duration of the turn."
BT6-001,LEADER,Son Goku and Vegeta,"SSB Gogeta, Fusion Perfected",Red,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Son Goku : Br/Vegeta : Br,Gogeta : Br,Saiyan,Saiyan,DBS : Broly Saga,DBS : Broly Saga,"March 8, 2019","**[Activate Main]**  **[Once per turn]**  Choose 1 red Son Goku : Br card or red Vegeta : Br card from your hand and place it in your Drop Area : Draw 2 cards, then choose up to 1 card in your life and add it to your hand.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]**  **[Once per turn]**  Choose 1 red card from your hand and place it in your Drop Area : If there are 2 or more red Son Goku : Br cards and 2 or more red Vegeta : Br cards in your Drop Area, and it's your turn, your opponent can't activate **[Counter]**  skills with energy costs of 2 or more for the duration of the turn, and this card gets +5000 power and **[Double Strike]**  for the duration of the turn."
BT6-002,LEADER,Frieza,"Golden Frieza, the Majestic Emperor",Red,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Frieza : Br,Frieza : Br,Frieza Clan/Frieza's Army,Frieza Clan/Frieza's Army,DBS : Broly Saga,DBS : Broly Saga,"March 8, 2019","**[Permanent]**  You can't include Battle Cards with energy costs of 3 or less in your deck.
**[Activate Main]**  **[Once per turn]**  Look at up to 5 cards from the top of your deck, choose up to 1 red Extra Card among them, and add it to your hand, then shuffle your deck.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Draw 1 card.
**[Auto]**  When this card is attacked by a Battle Card, you may choose 1 red Frieza's Army card from your hand and place it in your Drop Area. If you do, negate that attack and this skill for the duration of the turn."
BT6-027,LEADER,Dende,"Son Goku, Energy Restored",Blue,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Dende,Son Goku,Namekian/God/Shenron,Saiyan/Shenron,Majin Buu Saga,Majin Buu Saga,"March 8, 2019","**[Permanent]**  You can't include Extra Cards with energy costs of 4 or more in your deck, and this card can't attack.
**[Activate Main]**  **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) Switch this card to Rest Mode : Choose up to 2 **[Dragon Ball]**  cards from your deck or life and add them to your hand, then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card from your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one?
Draw 1 card.
Choose 1 blue or black Desire card in your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do, draw 2 cards, choose up to 2 of your blue energy, switch them to Active Mode, then flip this card over at the end of the turn."
BT6-028,LEADER,Majin Buu,"Majin Buu, Ability Absorber",Blue,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Majin Buu,Majin Buu,Majin,Majin,Majin Buu Saga,Majin Buu Saga,"March 8, 2019","**[Permanent]**  You can't send cards from Drop Areas to Warps.
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]** **[Burst 3]**  (You must place the top 3 cards of your deck in your Drop Area to activate this skill.) Choose 1 of your energy : You may place the chosen energy in your Drop Area. If you do, choose up to 1 Majin Buu card in your Drop Area and add it to your energy in Rest Mode.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Permanent]**  You can't send cards from Drop Areas to Warps.
**[Auto]** **[Sparking 7]**  (This skill takes effect when you have 7 or more cards in your Drop Area.) When this card attacks, draw 1 card, and this card gets +5000 power for the duration of the turn.
**[Activate Main]** **[Once per turn]**  Choose 1 of your energy : You may place the chosen energy in your Drop Area. If you do, choose up to 1 Majin Buu card in your Drop Area, and add it to your energy in Rest Mode."
BT6-053,LEADER,Paragus,"Paragus, Father of the Demon",Green,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Paragus : Br,Paragus : Br,Saiyan/Frieza's Army,Saiyan/Frieza's Army,DBS : Broly Saga,DBS : Broly Saga,"March 8, 2019","**[Auto]**  When this card attacks, if you have any green cards in your Battle Area, draw 1 card.
**[Activate Main]**  Choose 1 card from your life and add it to your hand : You can't add cards from your life to your hand for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Permanent]**  You can't add cards from your life to your hand during your turn.
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]** **[Once per turn]**  Choose 1 card from your hand and place it in your Drop Area : Choose up to 1 Broly : Br card in your Battle Area and it gets +5000 power for the duration of the turn."
BT6-054,LEADER,Cheelai and Lemo,"Cheelai and Lemo, the Kindhearted",Green,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Cheelai : Br/Lemo : Br,Cheelai : Br/Lemo : Br,Frieza's Army/Shenron,Frieza's Army/Shenron,DBS : Broly Saga,DBS : Broly Saga,"March 8, 2019","**[Permanent]**  You can't add cards from your life to your hand during your turn, except with this card's skill. 
**[Activate Main]** **[Once per turn]**  Choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through. 
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Broly : Br card from your Drop Area, add it to your hand, and flip this card over.","**[Permanent]**  You can't add cards from your life to your hand during your turn.
**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 green or black Desire card in your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game.
If you do, choose up to 2 green Frieza's Army cards with an energy cost of 2 or less from your deck and play them, then shuffle your deck and flip this card over at the end of the turn."
BT6-079,LEADER,Son Gohan,Untapped Power SS2 Son Gohan,Yellow,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Son Gohan : Childhood,Son Gohan : Childhood,Saiyan/Earthling,Saiyan/Earthling,Boujack Saga,Boujack Saga,"March 8, 2019","**[Auto]**  **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) When this card attacks, you may choose 1 yellow card from your hand and place it in your Drop Area. If you do, draw 2 cards.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card.
**[Activate Main]**  Choose up to 1 yellow Saiyan card in your Drop Area with an energy cost of 3 or more, add it to your hand, and negate this skill for the duration of the game."
BT6-080,LEADER,Boujack,"Boujack, the Pirate Captain",Yellow,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Boujack,Boujack,Boujack Brigade,Boujack Brigade,Boujack Saga,Boujack Saga,"March 8, 2019","**[Auto]**  **[Once per turn]**  When a Boujack Brigade card is played in your Battle Area, draw 1 card, and this card gets +5000 power for the duration of the turn.
**[Auto]**  When you combo with 1 of your cards during your turn, if your Combo Area has 2 or more Boujack Brigade cards that you comboed with from a Battle Area, choose up to 1 of your opponent's Battle Cards in Rest Mode and KO it, and if you KO'd a card, negate this skill for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may flip this card over.","**[Permanent]**  You can combo with Boujack Brigade cards in Rest Mode in your Battle Area.
**[Auto]**  **[Once per turn]**  When a Boujack Brigade card is played in your Battle Area, draw 1 card.
**[Auto]**  When you combo with 1 of your cards during your turn, if your Combo Area has 2 or more Boujack Brigade cards that you comboed with from a Battle Area, choose up to 1 of your opponent's Battle Cards in Rest Mode and KO it, and if you KO'd a card, negate this skill for the duration of the turn."
BT6-105,LEADER,Son Goku,Bonds of Friendship Son Goku,Black,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Son Goku : Childhood,Son Goku : Childhood,Saiyan,Saiyan,The Path to Power Saga,The Path to Power Saga,"March 8, 2019","**[Permanent]**  If there is a skill-less Battle Card in your Drop Area, you can activate this card's **[Awaken]**  skill when your life is at 6 or less.
**[Activate Main]**  **[Once per turn]**  Choose 1 {Four-Star Ball} from your hand and reveal it : Draw 1 card and this card gets +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Activate Main]**  **[Once per turn]**  Choose 1 {Four-Star Ball} from your hand and reveal it : Draw 2 cards, then choose 1 card from your hand and place it in your Drop Area.
**[Auto]**  **[Once per turn]**  When you combo with a skill-less card, that card gets +5000 combo power for the duration of the turn."
BT6-106,LEADER,Super Dragon Balls,"Super Shenron, the Almighty",Black,Series6ï½DESTROYER KINGSï½,Uncommon[UC],10000,15000,Super Dragon Ball,Super Shenron,Shenron,Shenron,Universe Survival Saga,Universe Survival Saga,"March 8, 2019","**[Permanent]**  This card can't attack.
**[Activate Main]**  Switch this card to Rest Mode : Choose up to 2 **[Dragon Ball]**  cards from your deck or life and add them to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 **[Dragon Ball]**  card from your Drop Area, add it to your hand, and flip this card over.","**[Permanent]**  This card can't attack.
**[Activate Main]**  **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 Desire card from your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game and choose 20 cards from your Drop Area then shuffle them into your deck. If you do, flip this card over at the end of the turn and take another turn after this one."
BT5-001,LEADER,Yamcha,"Yamcha, the Hungry Wolf",Red,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Yamcha,Yamcha,Earthling,Earthling,Pilaf Saga,Pilaf Saga,"November 9, 2018","**[Auto]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card, and this card gains **[Critical]**  for the duration of the turn.
**[Activate Main]** **[Once per turn]**  Choose 1 red Battle Card in your Battle Area : The chosen Battle Card can attack Battle Cards in Active Mode for the duration of the turn."
BT5-002,LEADER,Pilaf,"Oolong, Always Wanting More",Red,Series 5 ï½MIRACULOUS REVIVALï½,Rare[R],10000,15000,Pilaf,Oolong,Earthling/Shenron,Earthling/Shenron,Pilaf Saga,Pilaf Saga,"November 9, 2018","**[Auto]** **[Once per turn]**  When one of your Battle Cards attacks, it gets +5000 power for the duration of the turn, then choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card in your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 red or black Desire card in your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do, draw 3 cards, choose 1 of your Battle Cards and it gets +15000 power for the duration of the turn, then flip this card over at the end of the turn."
BT5-026,LEADER,Son Gohan,Righteous Heart Son Gohan,Blue,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Son Gohan: Adolescence,Son Gohan : Adolescence/Shenron,Saiyan/Earthling/Shenron,Saiyan/Earthling/Shenron,Janemba Saga,Janemba Saga,"November 9, 2018","**[Auto]**  When this card attacks, it gets +5000 power for the duration of the turn, then choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card in your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 blue or black Desire card in your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do, choose up to 3 of your energy and switch them to Active Mode, and this card gets +15000 power and **[Critical]**  for the duration of the turn, then flip this card over at the end of the turn."
BT5-027,LEADER,Janemba,Supreme Evil Janemba,Blue,Series 5 ï½MIRACULOUS REVIVALï½,Rare[R],10000,15000,Janemba,Janemba,Evil Incarnate,Evil Incarnate,Janemba Saga,Janemba Saga,"November 9, 2018","**[Auto]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card, and this card gets +5000 power and **[Critical]**  for the duration of the turn.
**[Activate Main]**  Choose 1 card in your hand and place it in the Drop Area : During this turn, when your opponent activates **[Counter Play]** , they choose 3 cards from their hand and place them in their Drop Area. "
BT5-053,LEADER,Pilaf,Tiny Warrior Son Goku,Green,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Pilaf,Son Goku : GT,Earthling/Shenron,Saiyan/Shenron,Black Star Dragon Ball Saga,Black Star Dragon Ball Saga,"November 9, 2018","**[Auto]** **[Once per turn]**  When one of your Battle Cards attacks, it gets +5000 power for the duration of the battle, then choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card in your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 green or black Desire card from your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do, choose up to 1 card each from your opponent's hand and Battle Cards and place them in their owners' Drop Areas, and this card gets +15000 power for the duration of the turn, then flip this card over at the end of the turn."
BT5-053_PR,LEADER,Pilaf,Tiny Warrior Son Goku,Green,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Pilaf,Son Goku : GT,Earthling/Shenron,Saiyan/Shenron,Black Star Dragon Ball Saga,Black Star Dragon Ball Saga,"November 23, 2018","**[Auto]** **[Once per turn]**  When one of your Battle Cards attacks, it gets +5000 power for the duration of the battle, then choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card in your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 green or black Desire card from your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do, choose up to 1 card each from your opponent's hand and Battle Cards and place them in their owners' Drop Areas, and this card gets +15000 power for the duration of the turn, then flip this card over at the end of the turn."
